hostname,disposition,sy_snum
BD+20 594,CONFIRMED,1
EPIC 201111557,CANDIDATE,1
EPIC 201126503,CANDIDATE,1
EPIC 201127519,CANDIDATE,1
EPIC 201147085,CANDIDATE,1
EPIC 201152065,CANDIDATE,1
EPIC 201160662,CANDIDATE,1
EPIC 201164625,CANDIDATE,1
K2-243,CANDIDATE,1
EPIC 201170410,CONFIRMED,1
EPIC 201176672,CANDIDATE,1
EPIC 201180665,CANDIDATE,1
EPIC 201182911,CANDIDATE,1
EPIC 201197348,CANDIDATE,1
EPIC 201231940,CANDIDATE,1
EPIC 201238110,CONFIRMED,1
EPIC 201238163,CANDIDATE,1
EPIC 201239401,CANDIDATE,1
EPIC 201247497,CANDIDATE,1
EPIC 201257461,FALSE POSITIVE,1
EPIC 201258341,CANDIDATE,1
EPIC 201259803,CANDIDATE,1
EPIC 201264302,CANDIDATE,1
EPIC 201270176,CANDIDATE,1
HIP 55390,CANDIDATE,1
EPIC 201274010,CANDIDATE,1
EPIC 201291843,CANDIDATE,1
EPIC 201299088,CANDIDATE,1
EPIC 201324549,FALSE POSITIVE,1
EPIC 201352100,CANDIDATE,1
EPIC 201357835,CANDIDATE,1
EPIC 201359834,CANDIDATE,1
EPIC 201366540,CANDIDATE,1
EPIC 201390927,CANDIDATE,1
EPIC 201392505,CANDIDATE,1
EPIC 201407812,CANDIDATE,1
EPIC 201427007,CONFIRMED,1
EPIC 201441872,CANDIDATE,1
EPIC 201445732,CANDIDATE,1
EPIC 201456770,CANDIDATE,1
HIP 54766,CANDIDATE,1
EPIC 201497682,CONFIRMED,1
EPIC 201512465,CANDIDATE,1
EPIC 201515470,CANDIDATE,1
EPIC 201516974,CANDIDATE,1
EPIC 201521212,CANDIDATE,1
EPIC 201528215,CANDIDATE,1
EPIC 201534540,CANDIDATE,1
EPIC 201541160,CANDIDATE,1
EPIC 201543531,CANDIDATE,1
EPIC 201546136,CANDIDATE,1
EPIC 201555883,FALSE POSITIVE,1
EPIC 201556134,CANDIDATE,1
EPIC 201561956,CANDIDATE,1
EPIC 201563164,CANDIDATE,1
EPIC 201565013,CANDIDATE,1
EPIC 201569483,FALSE POSITIVE,1
EPIC 201577017,CANDIDATE,1
EPIC 201577112,CANDIDATE,1
EPIC 201588420,CANDIDATE,1
EPIC 201595106,CONFIRMED,1
EPIC 201596733,CANDIDATE,1
EPIC 201606542,CANDIDATE,1
K2-166,CONFIRMED,1
EPIC 201617985,CANDIDATE,1
EPIC 201619647,CANDIDATE,1
EPIC 201626686,CANDIDATE,1
EPIC 201631267,CANDIDATE,1
EPIC 201635132,CANDIDATE,1
EPIC 201639576,CANDIDATE,1
EPIC 201649426,FALSE POSITIVE,1
EPIC 201650711,CANDIDATE,1
EPIC 201654498,CANDIDATE,1
K2-319,CANDIDATE,1
EPIC 201666578,CANDIDATE,1
EPIC 201683540,CANDIDATE,1
EPIC 201702477,CANDIDATE,1
EPIC 201705526,CANDIDATE,1
EPIC 201717159,CANDIDATE,1
EPIC 201717274,CANDIDATE,1
EPIC 201720401,CANDIDATE,1
EPIC 201729655,CANDIDATE,1
EPIC 201732557,CANDIDATE,1
K2-16,CONFIRMED,1
EPIC 201757695,CONFIRMED,1
EPIC 201775904,CANDIDATE,1
EPIC 201779067,FALSE POSITIVE,1
EPIC 201785059,CANDIDATE,1
EPIC 201793642,CANDIDATE,1
EPIC 201828749,CANDIDATE,1
K2-50,CONFIRMED,1
EPIC 201837434,CANDIDATE,1
EPIC 201841433,CONFIRMED,1
EPIC 201846824,CANDIDATE,1
EPIC 201856786,CANDIDATE,1
EPIC 201892470,CANDIDATE,1
EPIC 201896171,CANDIDATE,1
EPIC 201920032,CANDIDATE,1
EPIC 201923289,CANDIDATE,1
EPIC 201925324,CANDIDATE,1
EPIC 201927336,CANDIDATE,1
EPIC 201928106,FALSE POSITIVE,1
EPIC 201929294,FALSE POSITIVE,1
EPIC 202059377,FALSE POSITIVE,1
EPIC 202060800,CANDIDATE,1
EPIC 202062450,CANDIDATE,1
EPIC 202064253,CANDIDATE,1
EPIC 202065819,CANDIDATE,1
EPIC 202066192,CANDIDATE,1
EPIC 202066537,CANDIDATE,1
EPIC 202066811,CANDIDATE,1
EPIC 202071289,CANDIDATE,1
EPIC 202071401,CANDIDATE,1
EPIC 202071635,CANDIDATE,1
EPIC 202071645,FALSE POSITIVE,1
EPIC 202071725,CANDIDATE,1
EPIC 202072596,CANDIDATE,1
EPIC 202072965,CANDIDATE,1
EPIC 202084970,CANDIDATE,1
EPIC 202085553,CANDIDATE,1
EPIC 202085597,CANDIDATE,1
EPIC 202085698,CANDIDATE,1
EPIC 202085934,CANDIDATE,1
EPIC 202086291,CANDIDATE,1
EPIC 202086968,CANDIDATE,1
EPIC 202088212,CANDIDATE,1
EPIC 202089657,CANDIDATE,1
EPIC 202090152,CANDIDATE,1
EPIC 202090723,CANDIDATE,1
EPIC 202090737,CANDIDATE,1
EPIC 202091388,CANDIDATE,1
EPIC 202092480,CANDIDATE,1
EPIC 202092559,CANDIDATE,1
EPIC 202092782,CANDIDATE,1
EPIC 202093020,CANDIDATE,1
EPIC 202093968,CANDIDATE,1
EPIC 202094740,CANDIDATE,1
EPIC 202126847,CANDIDATE,1
EPIC 202126853,CANDIDATE,1
EPIC 202126884,CANDIDATE,1
EPIC 202126887,FALSE POSITIVE,1
EPIC 202126888,FALSE POSITIVE,1
EPIC 202137637,CANDIDATE,1
EPIC 202139294,CANDIDATE,1
EPIC 202565282,CANDIDATE,1
EPIC 202600948,CANDIDATE,1
EPIC 202634963,CANDIDATE,1
EPIC 202675839,CANDIDATE,1
EPIC 202688980,CANDIDATE,1
